Name,Rating,Title,Content
CALM SENSITIVE CLEANSER (NORMAL / DRY),3,PACKAGING CAN BE IMPROVED,"Like the other review here, packaging should be changed because the products leak once it is opened.

This is a good, gentle cleanser but cannot be relied on to remove makeup. Also, i feel that it is a little pore clogging so more time should be spent when rinsing the product off. Find that it cleans much better when applied on dry skin and rubbed for a few minutes before adding water to lather it up."
CALM SENSITIVE CLEANSER (NORMAL / DRY),3,NICE PRODUCT BUT PACKAGING NOT SO GOOD FOR TRAVELLING,"I did like this product, from the little amount that was left in the bottle after I opened my toiletry bag and found it had leaked everywhere! It was brand new! Luckily I managed to salvage a small amount and liked the product, hence buying again to try it out again.

Warning: The bottle leaks when it is laid on its side so not good for travelling. Best to empty into travel size bottles to avoid wastage."
HYDRALIGHT ONE STEP FACE CLEANSER,4,RECOMMENDED!,My go to for extra oily days - I have combination skin.
HYDRALIGHT ONE STEP FACE CLEANSER,5,LOVE IT,"I have a combination skin. And I've used so many cleansers over the years and always had to switch. My surface skin dries out no matter how mild the cleanser is and causes clogged pores. This cleanser however does a good job of cleaning my skin without drying it out as much. Only issue is that with a combiation skin, my forehead and cheeks continue to get oily faster. I just use a clay mask on these areas once a week to clear hen abit more throughly while keeping the other areas away from too deep a cleanse. Love this product overall."
PERFECT CLEANSING OIL,2,BROKE ME OUT,"I am always on the look out for a cleansing oil of good value. Be sure to check the ingredient list. Unfortunately it broke me out, so I used the rest of the product to wash my make up brushes."
PERFECT CLEANSING OIL,3,GOOD MAKEUP REMOVER,Fragrance free and a blend of great oils. However all of it gets washed off if you second cleanse so cant recommend the high price.
SKIN BALANCING OIL-REDUCING CLEANSER,5,PERFECT FOR OILY SKIN,I love this cleanser. I use in the morning and night. It clean my skin without drying it out or making it feel tight and stretched.
SKIN BALANCING OIL-REDUCING CLEANSER,5,GREAT VALUE AND WORKS WELL TO REMOVE DIRT & MAKEUP!,"I buy the extra large bottle of this, it lasts for ages and works really well to remove oil (I live in the tropics), and makeup. Really great value product that I would recommend to folks with oily skin."
SKIN BALANCING OIL-REDUCING CLEANSER,5,CLEANSER OF CHOICE,"My night time cleanser, removes make up/sunscreen and fragance free been using this for years. I always get the big bottle lasts for ages and good value for money. Doesnt irritate or strip skin."
SKIN BALANCING OIL-REDUCING CLEANSER,4,EFFECTIVE CLEANSER,"Cleanse effectively without dehydration.

Good combination with it's toner."
SKIN BALANCING OIL-REDUCING CLEANSER,5,VALUE FOR MONEY,"Not overly drying, leaving skin feeling clean and well balanced"
CALM SENSITIVE TONER (NORMAL / DRY),5,DOES WHAT IT CLAIMS,I used to get the occasional random red patches on my face as I've got sensitive skin. This got rid of the redness entirely and has been a constant in my skincare routine since.
SKIN RECOVERY ENRICHED CALMING TONER,5,GREAT CALMING TONER,"I have got really dry skin most of the time which acts up a week before my period. This toner is not only non irritating to my sensitive skin but helps to calm it down, giving a clean surface before my next few steps (serum.. moisturiser)!"
SKIN RECOVERY ENRICHED CALMING TONER,4,REVIEW,Has been using this toner for a while and it helps to remove leftover dirts after facial cleansing
CALM SENSITIVE 1% BHA LOTION,5,GENTLE BUT EFFECTIVE!,"This did not irritate my highly sensitive skin but made it clearer and kept clogged pores at bay. I started with this nightly, and then now I rotate it with the 2% lotion. I will definitely repurchase."
CALM SENSITIVE 1% BHA LOTION,5,HIGHLY RECOMMENDED!,Effective keeping at bay PMS related breakouts - I use it every night under moisturiser.
CALM SENSITIVE 1% BHA LOTION,3,GOOD FOR SENSITIVE SKINS,"I have tried this, it works fine and it is a gentle exfoliant. As to reduce redness, I saw a bit of difference but not too much. Overall, I think this would suit very sensitive skin types."
CALM SENSITIVE 1% BHA LOTION,5,AMAZING,"Love the formula and the texture of this products

I was traveling in Europe for a month and this kept my skin problem free and also calms my skin down !"
CALM SENSITIVE 1% BHA LOTION,1,DOES NO DIFFERENCE AS COMPARED TO SKIN PERFECTING 1% BHA LOTION EXFOLIANT,"I was previously using the Skin Perfecting 1% BHA Lotion Exfoliant before this calm series was released as a better version.
There is no positive outcome from using this product, and it is unfortunate that the Skin Perfecting 1% BHA Lotion Exfoliant has been replaced by this."
RESIST ADVANCED PORE-REFINING TREATMENT 4% BHA (SALICYLIC ACID),5,"A MIRACLE PRODUCT FOR OILY, BLEMISH-PRONE SKIN!","I'm a big fan of the 2% BHA lotion but this product is fantastic as a 3-times weekly exfoliator, or when I have a breakout (then daily). I have super oily skin but this is still too drying if I use it everyday. To clear a breakout, I use this at night, and then gently cleanse my skin with a wet cloth"
RESIST DAILY SMOOTHING TREATMENT 5% AHA (GLYCOLIC ACID),4,LIKING IT,"This is my first try with Paula's Choice skin care product. Was recommended to try this exfoliant as I have fine lines, uneven skin tone and slight pigmentation. When first applied, there's a slight itchy and bitey feeling on the skin. It's not unbearable, just makes me want to scratch it a little. Except for the slight fishy smell, I like the product and after a week's application, my skin does appear a little brighter and more even."
RESIST DAILY SMOOTHING TREATMENT 5% AHA (GLYCOLIC ACID),5,RADIANT COMPLEXION,"Is my first try on exfoliant . I like it improves my skin radiant, and smoother my skin"
SKIN PERFECTING 2% BHA (SALICYLIC ACID) LOTION,4,GREAT EXFOLLIATOR,"i love this lotion instead of liquid, this lotion more moisture."
RESIST 10% NIACINAMIDE BOOSTER,4,GOOD PRODUCT,"I used it once in a while on my super sensitive skin, as I was already using the PC 2% BHA twice a day and 1% retinol on my skin every night after building up a tolerance. I didn’t see any results on my skin but it is due to my inconsistent use. I used it on my 3 months old scar on my chest and it seems to have lighten it! So I think it is a great product if you can tolerate frequent consistent use."
RESIST 10% NIACINAMIDE BOOSTER,4,I LIKED THIS,I use this on clean skin before sunscreen every morning. I like that it feels like nothing and doesn’t weigh my skin down. It feels like my pores on my cheeks have shrunk as well.
RESIST 10% NIACINAMIDE BOOSTER,1,NO RESULTS,"Maybe I'm too impatient, but I didn't really notice any changes in my skin after using a full bottle so not something I'll repurchase."
RESIST 10% NIACINAMIDE BOOSTER,4,GREAT FOR BREAKOUT PRONE SKIN AND FADING SCARS,I have always loved the benefits of niacinamide and bought this soon after it was available and I am very happy to say that it does what it claims! Very lightweight but only thing I wished was that it came in a bigger size because I use it as a standalone product and not as a booster. Overall highly recommended!
RESIST 10% NIACINAMIDE BOOSTER,5,FOOD FOR MY SKIN....,Initially used this twice a day but now only at night as it is more tolerable to my skin. It is definitely good food for my skin as it evens out the skintone and takes away the dullness. Lightweight & quick absorption even when mixed with other serum. Highly recommended! Thanks PC!
RESIST ULTRA-LIGHT SUPER ANTIOXIDANT CONCENTRATE SERUM WITH HYALURONIC ACID,4,GREAT FOR HOT SUMMER DAYS,"I love the consistency and how supplied my skin felt once i applied this serum, can even go without another layer of moisturizer at night in hot summer days, one of the simple yet effective serums I love love love!"
RESIST ULTRA-LIGHT SUPER ANTIOXIDANT CONCENTRATE SERUM WITH HYALURONIC ACID,3,DIDN’T WORK FOR MY SKIN,"The texture felt silicony, and this broke me out. I didn’t like it at all. So I returned it. Paula’s Choice customer service was awesome and I used the store credits to buy something that worked for me"
RESIST ULTRA-LIGHT SUPER ANTIOXIDANT CONCENTRATE SERUM WITH HYALURONIC ACID,4,LIGHT ENOUGH FOR DAY TIME,I liked this as it was very light. However it felt a little silicone-y under my sunscreen and foundation. Would prefer something even lighter for day time.
RESIST ULTRA-LIGHT SUPER ANTIOXIDANT CONCENTRATE SERUM WITH HYALURONIC ACID,4,NICE TEXTURE,Lovely texture and certainly helps moisturise my oil skin. But it's an extra step I'd rather skip from my regime
RESIST ULTRA-LIGHT SUPER ANTIOXIDANT CONCENTRATE SERUM WITH HYALURONIC ACID,5,THE BEST OVERALL SERUM,Rebought this too many times to count. Makes my skin silky smooth with no breakouts. I love Paula's Choice!
CLEAR ACNE REGULAR STRENGTH CREAM 2.5% BP,3,ABIT STRONG,"Be careful when using, slightly strong for sensitive skin"
CLEAR ACNE REGULAR STRENGTH CREAM 2.5% BP,4,HMM,"Love-hate relationship with this. It takes some time for it to be fully absorbed after application. It also makes my skin feels very tight after. However, it did calm my breakouts very well along with the rest of the products."
CLEAR ACNE REGULAR STRENGTH CREAM 2.5% BP,2,DIDNT WORK,"increased breakouts, prefer the drugstore version for regular use."
CLEAR ACNE REGULAR STRENGTH CREAM 2.5% BP,5,THIS ALWAYS WORKS! MY HOLY GRAIL FOR PIMPS,"This always works on my zits, red bumps or those with heads. Usually, after applying after once or twice on headless red bump, the whitehead will be ripen and it is ready for extraction. Do note that this can may dry peeling skin (if you apply too frequent) so may sure you apply moisturiser or serum on that area before you apply this. Just a dab of this will do and remember to apply sunscreen if you are using in the day."
RESIST 25% VITAMIN C SPOT TREATMENT,2,SINCE THE,"C15 vitamin C didn't work for my brown spot, I thought a higher concentration would help, despite the rather crazy price tag for the size.
Sadly, still, I went through nearly two tubes of this, and it did not help at all. I also do not like the white cast it leaves unless I rub the product in, but the instructions say not to rub, so...
However, it does work for other people it seems. Therefore, 3 stars."
RESIST 25% VITAMIN C SPOT TREATMENT,4,UNSURE,"brightening- 100%
fade pimple/acne scars - 100%
dark spot - not yet. am on my first tube. maybe need prolonged usage for spots to fade."
RESIST 25% VITAMIN C SPOT TREATMENT,5,ABSOLUTELY IN LOVE !,It was such an amazing surprise to see how brightened and cleared the applied area and it required just a drop on jaw line
RESIST 25% VITAMIN C SPOT TREATMENT,2,IT STING,"Does not suitable to apply on healing scar as it really sting. However, does not see any result on me."
RESIST 25% VITAMIN C SPOT TREATMENT,4,BRIGHTENING,Helped brighten some stubborn spots over 3months but you need to be consistent with sunscreen. Heavy silicone based treatment so you really only need to tap a small amount over. Doesnt sit undermakeup well will pill if you rub so used at night. Helps control oils if used in am without makeup
CLINICAL CERAMIDE-ENRICHED FIRMING MOISTURIZER,4,GOOD SO FAR!,"I've only started using this a few weeks ago but so far so good on my oily, blemish-prone skin! My skin is both oily and dry, which is a pain. I need a night moisturizer that will protect my skin from air conditioning, moisturises, without breaking me out. So far this ticks all the boxes and feels lovely on the skin. My only question mark is that it feels slightly tingly when applying after the BHA 2% lotion, so this may not be good in the long term. But overall good product so far!"
CLINICAL CERAMIDE-ENRICHED FIRMING MOISTURIZER,5,"ABOUT AS THICK AS THE HYDRATOR, VERY MOISTURIZING","This moisturizer is about as thick as the Hydrator, and quite moisturizing. I have normal to combination skin - this one works very well for me. Doesn't clog and some nights i do not use the hyaluronic acid at all. Love it!"
SKIN RECOVERY REPLENISHING MOISTURIZER,5,CREAMY PM MOISTURISER,Soothes my extremely dry skin without irritation. I love how it makes my skin feel hydrated. I’m on my third bottle now!
SKIN RECOVERY REPLENISHING MOISTURIZER,4,DOES WHAT IT SAYS,"I have extremely sensitive skin and this does not irritate at all, so this is worthy of a try.

However, it is one star short because i find the formula a little on the thin side so when i have extremely dry and flaky skin due to allergies/reactions, slathering this on is still not enough."
SKIN RECOVERY REPLENISHING MOISTURIZER,5,GREAT FOR DRY SKIN,"I’ve been using this for about a month. I use only at night as its too rich for daytime. I have combination skin and i use this at night. Even with airconditioning on all night, the dry areas on my face feels soft the next morning. Will buy again."
RESIST ANTI-AGING CLEAR SKIN HYDRATOR,4,GOOD MOISTURIZER,I like the matte feel but expect more antioxidants.
RESIST ANTI-AGING CLEAR SKIN HYDRATOR,5,MY FAVOURITE MOISTURISER,"I love this! It provides great moisture and smooth skin without breaking me out. However, it's a little thick - try it first if you don't like the feeling of silicone."
RESIST ANTI-AGING CLEAR SKIN HYDRATOR,3,"SLIGHTLY DRYING, EVEN FOR OILY SKIN","I found this moisturiser to be quite drying, even though I have oily skin, and this is under the oily skin range. Changed to the barrier repair moisturiser and never looked back ;)"
RESIST ANTI-AGING CLEAR SKIN HYDRATOR,1,GAVE ME CYSTIC ACNE,Tried it first time. Gave me pimples. After a few weeks. I gave it a try again and I had cystic acne on my cheek. I have oily and acne prone. Disappointed
RESIST ANTI-AGING CLEAR SKIN HYDRATOR,2,PACKAGING CAN BE IMPROVED,"didnt like the pump packaging as it was hard to dispense the product. also did not work for me, my skin broke out a little."
CALM SENSITIVE DAYTIME MOISTURIZER SPF 30 (NORMAL / DRY),4,DOES WHAT IT SAYS,I got sample sizes from a friend and this actually works wonders. Gives a matte finish and good for under make up
CALM SENSITIVE DAYTIME MOISTURIZER SPF 30 (NORMAL / DRY),3,GOOD,Good
HYDRALIGHT SHINE FREE MINERAL COMPLEX SPF 30,3,NOT PERSPIRATION PROOF,"A light lotion consistency, comfortable for my combination skin. However, it does give a small amount of white case, but not too bad. Mineral spf is my preferred spf active, so i’m fine with the tiny bit of white cast.

The main issue i have with this is, it doesn’t stay on if i perspire."
HYDRALIGHT SHINE FREE MINERAL COMPLEX SPF 30,3,NOT REPURCHASING,"Sorry, still too oily to wear alone for my combination skin. Was OK under makeup though."
PC4MEN DAYTIME PROTECT SPF 30,5,RECOMMENDING,"This product did what it said. Using it for 2 years now and still loving it. FYI, 60ml is good for 4-5 months if used daily."
PC4MEN DAYTIME PROTECT SPF 30,4,GOOD OIL CONTROL AND LIGHT,Bought the 15ml bottle and gave it a shot. Impressed by the oil control and lightness of the sunscreen where most of the sunscreen I tried either gave you a white cast or is so oily/shiny after application and onto the day. WIll definitely buy again soon.
EXTRA CARE NON-GREASY SUNSCREEN SPF 50,5,LIGHT AND NON GREASY,Great protection without that greasy feeling.
EXTRA CARE NON-GREASY SUNSCREEN SPF 50,5,A GREAT EVERYDAY SUN-BLOCK IF YOU WORK OUTDOORS!,"This is the only sunblock I've used that never makes me break out! Its super breathable and non greasy, and the texture is similar to a light moisturizer- great for sensitive skin. It also works well under make up, and helps the foundation last longer. You get A LOT of sunscreen for a good price; the tube lasts me for 6-8 months of daily usage! I rarely ever go out without this sunblock; its a staple product in my morning regimen, and I'm loving it!"
EXTRA CARE NON-GREASY SUNSCREEN SPF 50,4,GOOD SUNBLOCK,Non greasy. Good for outdoor.
EXTRA CARE NON-GREASY SUNSCREEN SPF 50,4,GOOD FOR OUTDOOR ACTIVITIES,"used for my trip to a beach destination, its non-greasy and good for oily skin.

Cost effective, lasted a long time"
REHYDRATING MOISTURE MASK,4,GREAT MOISTURISING MASK!,I have oily skin that gets dry with air-conditioning and with regular blemishes. This works well as a 15-minutes moisture mask when I want my skin to look super smooth before doing my makeup.
SKIN RECOVERY HYDRATING TREATMENT MASK,5,THE BEST MOISTURISING MASK (PRE-MAKEUP AND WHEN FLYING),"I have oily skin that gets dry with air-conditioning and with regular blemishes. I wouldn't do a long haul flight without this on, it's invisible but keeps the skin plumped and sheltered from the nasty dry air in planes. I also use it as a 15mins mask before doing my makeup. Highly highly recommended."
SKIN RECOVERY HYDRATING TREATMENT MASK,4,GOOD VALUE,"This works as well, if not better than any much more expensive options in the market. Just adjust the amount and time you leave it one for your skin type. A bonus: it smells nice!"
SKIN RECOVERY HYDRATING TREATMENT MASK,3,DRY SKIN,"I am in my late 30s and have very dry skin. The mask is ok (yet to see any positive effect) for me to put on my face for 20minutes, but definitely not overnight. Left it overnight once, and maybe it was too rich? There were 2 red pimples which popped out the next day."
SKIN RECOVERY HYDRATING TREATMENT MASK,5,HOLY GRAIL MASK!!,"My go-to product when I feel that my skin needs a bit extra care after a long day in the sun or cold weather, I use it as a leave on mask/moisturizer, and I never failed to notice the glow coming back the next morning, will always have a bottle standby at home."
RESIST ANTI-AGING EYE CREAM,3,NO DIFFERENCE,The ingredients look amazing. But I didn’t see a difference to my eye area after using it religiously for 2 months day and night. Fine lines are still there. Good thing it didn’t give me milia seeds nor made my eyes puffy in the morning. I will continue using it as there is a lot left in the tube. Not sure if I will repurchase though.
RESIST ANTI-AGING EYE CREAM,5,GREAT EYE CREAM!,"I'm in my early 30s and start ed using this as soon as I started to see lines this year! Overall, great product, rich but doesn;t break the skin and I don't wake-up with super puffy eyes (which often happens to me with eye creams, strangely). I live in the tropics so sleep with airconditioning, which can be drying to the skin. I wake up really looking refreshed and the eye area much softer."
RESIST ANTI-AGING EYE CREAM,4,GREAT FOR FINE LINES,I apply this only at night. It is not as greasy as I thought it would be. Some effects on fine lines and puffiness can be seen just after a week. Good product!
RESIST ANTI-AGING EYE CREAM,4,GREAT TEXTURE AND WORKS WELL WITH MAKE UP,Many eye creams outside are too rich and causes milia seeds. This is a great eye cream which moisturises without bring too rich or thick. It also works very well under makeup.
RESIST ANTI-AGING EYE CREAM,4,ANTI-AGEING CREAM WORKS TOTALLY,I borrowed this product from my friend and I found that this product is really good! The Shea Butter and Peptides in the product makes it irresistibly to keep you from having wrinkles!
LIP & BODY TREATMENT BALM,2,DUD AND OVERPRICED LIP BALM,"One of the rare Paula's Choice items that didn't work for me. Not any better than cheap lip balms out there and the jar packaging is hypocritical since Paula always disses skincare that comes in a jar, saying it loses effectiveness once exposed to air."
LIP & BODY TREATMENT BALM,5,HOLYGRAIL LIPBLAM FOR NIGHT TIME USE!,This little pot helps with my lips staying hydrated every evening before I sleep. It helps to heal whatever dryness I have due to me being a smoker.
LIP & BODY TREATMENT BALM,4,AWESOME LIP BALM,my lips love this lip balm... just wish it has a more portable version!
LIP & BODY TREATMENT BALM,4,WORKS WELL,Saves my lips from those dry times. Works well. This could be better if its in a tube packaging so i can carry it with me.
LIPSCREEN SPF 50,3,GOOD BASIC LIPBALM,"Good basic lipbalm with spf. I bought this for the spf protection. I may have a bad one because the cap is quite stiff and hard to remove and halfway through, the tube of balm fell out a few times."
ALL OVER HAIR & BODY SHAMPOO,3,"SADLY,","I think Paula Choice is really an expert brand in terms of skin care, but not so much for hair care. This shampoo is a very simple shampoo which washes well, and honestly, just like any other normal shampoo out there. I do like that it is not greasy and not too drying as well. Still, there are plenty of shampoo products out there with a much cheaper price tag and which works as well."
ALL OVER HAIR & BODY SHAMPOO,4,FUNCTIONAL,Works for my dry hair. A life saver for overseas travel.
ALL OVER HAIR & BODY SHAMPOO,5,MY FAVORITE!!!,I’ve been struggling to find a fragrance free shampoo for ages! Thank goodness for Paula’s Choice! This shampoo/body wash cleanses my scalp brilliantly without stripping my hair. Its also a great body wash because its a product made with such a clean formula. I’ve stocked up since i discovered this :)
ALL OVER HAIR & BODY SHAMPOO,5,FANTASTIC SHAMPOO FOR SENSITIVE SKIN,"I’ve used 2 bottles and have 3 backups. That how much i love this. It works wonderfully as a shampoo and body wash. It doesn’t dry my hair and dry skin, feels very clean after. This is a very clean formula, i love it. The only con is the price, this stuff is quite expensive but i will continue to use it."
PC4MEN BODY WASH,5,GOOD PRODUCT.,I am using this as my daily shampoo. Agree that some may not like as it's scentless. But it's really good. Not sure why but my scalp was very itchy previously... I've tried many other shampoo.. even organic shampoo but still the itch persist. I switch to use this PC4Men and I realised recently that my scalp isn't itchy anymore. Will buy my second bottle soon.
CLEAR ACNE BODY SPRAY 2% BHA (SALICYLIC ACID),4,USED TO BE GOOD BUT,"recently, the few bottles which I received smelled different and feels different I feel like the thing has been diluted. Given, I have used this product since it first came out(at least 2 years ago IIRC), and the recent stock (Dec 2017 onwards) seems to be lacking in quality.

The previous batch worked great. It helped with breakouts caused by external factors and even rashes I get from sweat and hot weather, providing a lot of relief to red, itchy and pus-filled bumps.

Hope Paula Choice will look into this because there should be no change of formula as far as I am aware of and hope Paula choice will continue producing this product because it's a good product."
CLEAR ACNE BODY SPRAY 2% BHA (SALICYLIC ACID),3,"WORKS WELL, BUT THE SMELL..","Good product but the smell is just awful. I know PC doesn't use fragrance but this doesn't smell great after the shower, and somewhat different from the BHA face lotion."
CLEAR ACNE BODY SPRAY 2% BHA (SALICYLIC ACID),3,IT WAS OKAY,"It really didn`t do much for me. It was okay, it reduced my acne by a bit but other than that nothing much."
CLINICAL ULTRA-RICH SOOTHING BODY BUTTER,5,VERY CREAMY,"I have a very dry patch of skin that itches and is stripped of all moisture right after a shower. This product instantly saves it without me having to apply large amounts of it.

In fact I even brought it with me on holiday because overseas the air is dry."
